zip,County Name,2010_pop,2015_pop,%pop_change,%pop_size,med_age,HS_higher,med_inc,pov_level,,,,,,
11231,Kings,33336,35263,0.06,0.004,36.3,0.87,83310,0.16,,,,,,
11230,Kings,86408,88589,0.03,0.010,34.3,0.83,41068,0.24,,,,,,
11229,Kings,80018,81732,0.02,0.009,40.7,0.84,52168,0.16,,,,,,
11228,Kings,41788,47190,0.13,0.005,39.2,0.78,64250,0.13,,,,,,
11226,Kings,101572,99026,-0.03,0.011,34.7,0.81,43399,0.20,,,,,,
11225,Kings,56829,60180,0.06,0.007,33.5,0.84,44911,0.20,,,,,,
11224,Kings,47621,43001,-0.10,0.005,46.9,0.79,28006,0.28,,,,,,
11223,Kings,78731,79385,0.01,0.009,36.2,0.77,43019,0.19,,,,,,
11222,Kings,36934,35163,-0.05,0.004,34,0.91,72409,0.13,,,,,,
11221,Kings,78895,83372,0.06,0.010,31.7,0.71,40635,0.27,,,,,,
11220,Kings,99598,102325,0.03,0.012,32.6,0.51,38893,0.33,,,,,,
11219,Kings,92221,97670,0.06,0.011,27.9,0.66,35974,0.36,,,,,,
11218,Kings,75220,75691,0.01,0.009,32.8,0.81,56120,0.23,,,,,,
11217,Kings,35881,38511,0.07,0.004,35.3,0.88,87091,0.13,,,,,,
11216,Kings,54316,53747,-0.01,0.006,34.6,0.83,47107,0.21,,,,,,
11215,Kings,63488,70818,0.12,0.008,34.9,0.93,103716,0.08,,,,,,
11214,Kings,88630,91295,0.03,0.011,39.1,0.74,49828,0.19,,,,,,
11213,Kings,63767,64603,0.01,0.007,33.1,0.79,34701,0.28,,,,,,
11212,Kings,84500,88668,0.05,0.010,32.6,0.75,28207,0.35,,,,,,
11211,Kings,90117,97772,0.08,0.011,30.3,0.83,54406,0.31,,,,,,
11210,Kings,62008,67432,0.09,0.008,35.2,0.89,57565,0.15,,,,,,
11209,Kings,68853,70803,0.03,0.008,39.4,0.88,62761,0.14,,,,,,
11208,Kings,94469,93847,-0.01,0.011,31,0.78,35698,0.30,,,,,,
11207,Kings,93386,94657,0.01,0.011,31.5,0.73,34252,0.32,,,,,,
11206,Kings,81677,84806,0.04,0.010,29,0.70,30779,0.37,,,,,,
11205,Kings,40366,43224,0.07,0.005,29.4,0.81,47575,0.35,,,,,,
11204,Kings,78134,80486,0.03,0.009,34.4,0.73,46560,0.24,,,,,,
11203,Kings,76174,75887,0.00,0.009,39.6,0.85,45936,0.18,,,,,,
11202,Kings,,,,,,,,,,,,,,
11201,Kings,51128,58350,0.14,0.007,35.1,0.92,101150,0.15,,,,,,
11109,Queens,3523,4702,0.33,0.001,31.9,1.00,129505,0.09,,,,,,
11106,Queens,38875,38812,0.00,0.004,36.4,0.85,54109,0.20,,,,,,
11105,Queens,36688,37194,0.01,0.004,34.3,0.86,61646,0.12,,,,,,
11104,Queens,27232,26718,-0.02,0.003,37.7,0.86,55294,0.15,,,,,,
11103,Queens,38780,39231,0.01,0.005,34.1,0.86,59243,0.15,,,,,,
11102,Queens,34133,35271,0.03,0.004,33.4,0.80,51123,0.19,,,,,,
11101,Queens,25484,25880,0.02,0.003,36.1,0.81,48013,0.22,,,,,,
11096,Queens,8344,8331,0.00,0.001,33.9,0.75,48449,0.18,,,,,,
11040,Queens,40782,41434,0.02,0.005,43.9,0.91,106654,0.03,,,,,,
11005,Queens,1806,1947,0.08,0.000,82,0.98,58894,0.02,,,,,,
11004,Queens,14016,13778,-0.02,0.002,45.6,0.90,85968,0.08,,,,,,
11001,Queens,26883,27551,0.02,0.003,41.6,0.94,99691,0.03,,,,,,
